target,listing_type,kitchen_type,building_condition,postcode,tenement_building,double_glazing,furnished,bathroom,m2,bedrooms,number_bedrooms
1175,Other,Installed,Good,,No,Yes,No,1.0,70,10,1
1205,Apartment,Installed,Good,,No,Yes,No,1.0,70,10,1
1200,Apartment,Hyper equipped,Renovated,1000,No,Yes,Unknown,1.0,95,17,2
1050,Apartment,Hyper equipped,Renovated,1200,No,Yes,No,1.0,60,15,1
1290,Apartment,Not installed,Good,1050,No,Yes,No,2.0,70,10,2
1145,Apartment,Not installed,Renovated,1030,No,No,Unknown,1.0,90,10,2
710,Other,Not installed,Good,,No,Yes,Unknown,0.0,128,10,1
1275,Apartment,Hyper equipped,Renovated,1200,No,Yes,No,1.0,70,15,1
1350,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,77,14,1
3400,Apartment,Hyper equipped,Good,1050,No,Yes,No,4.0,280,23,4
1450,Apartment,Installed,Renovated,1180,No,Yes,Unknown,1.0,100,15,2
1250,Apartment,Hyper equipped,Renovated,1030,No,Yes,Unknown,1.0,80,16,2
1100,Other,Installed,Renovated,1040,No,Yes,Yes,1.0,40,10,1
1175,Other,Installed,Good,1030,No,Yes,No,1.0,70,10,1
1175,Other,Installed,Good,1140,No,Yes,No,1.0,70,10,1
1175,Apartment,Installed,Good,1030,No,Yes,No,1.0,70,10,1
1175,Apartment,Installed,Good,1140,No,Yes,No,1.0,70,10,1
590,Other,Installed,Good,1040,No,Yes,Unknown,1.0,35,10,1
1500,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,100,19,2
1500,Apartment,Installed,Good,1000,No,Yes,No,1.0,128,24,2
6500,Other,Not installed,Good,,No,Yes,No,3.0,250,10,4
1400,Other,Installed,Renovated,1170,No,Yes,No,1.0,92,14,3
1380,Apartment,Semi equipped,Renovated,1200,No,Yes,No,1.0,100,15,2
1500,Other,Hyper equipped,Renovated,1050,No,Yes,No,1.0,75,10,1
1850,Apartment,Hyper equipped,Renovated,1000,No,Yes,No,2.0,149,10,2
2250,Other,Installed,Good,,No,No,No,1.0,132,10,4
3200,Apartment,Installed,Good,,No,No,No,2.0,200,10,3
1125,Apartment,Hyper equipped,Good,1040,No,Yes,No,1.0,78,9,2
1070,Other,Hyper equipped,Renovated,1030,No,Yes,Yes,1.0,55,14,1
1680,Apartment,Not installed,Renovated,1160,No,Yes,Unknown,2.0,90,14,2
1380,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,1.0,75,10,1
3200,Apartment,Hyper equipped,Renovated,1050,No,Yes,Unknown,3.0,230,30,3
1100,Apartment,Hyper equipped,Renovated,1200,No,Yes,No,1.0,78,10,2
960,Other,Not installed,Good,1000,No,Yes,Unknown,1.0,85,10,1
950,Apartment,Not installed,Good,1000,No,Yes,No,1.0,50,10,1
1225,Apartment,Installed,Good,1050,No,Yes,No,1.0,80,15,2
885,Other,Installed,Good,1180,No,Yes,Unknown,0.0,128,10,1
1795,Other,Hyper equipped,Good,1210,No,Yes,Yes,2.0,120,10,3
4200,Other,Installed,Renovated,1050,No,No,Yes,3.0,150,10,3
1575,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,1.0,70,15,1
1425,Apartment,Hyper equipped,Good,1150,No,Yes,Unknown,1.0,136,10,2
800,Other,Installed,Good,1180,No,Yes,Unknown,1.0,47,10,1
2150,Apartment,Installed,Good,1050,No,No,Yes,2.0,110,17,3
1350,Other,Installed,Good,,No,No,Yes,1.0,42,10,1
2100,Other,Installed,Good,,No,No,Yes,1.0,128,10,2
1365,Apartment,Installed,Renovated,1040,No,Yes,Unknown,1.0,124,20,2
1400,Other,Hyper equipped,Renovated,1180,No,Yes,No,2.0,98,18,2
1250,Other,Installed,Good,1180,No,Yes,No,2.0,90,10,2
710,Other,Installed,Good,1190,No,No,Unknown,1.0,44,10,1
2300,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,140,10,3
800,Apartment,Semi equipped,Good,1040,No,Yes,No,1.0,67,10,1
1700,Other,Hyper equipped,Renovated,1050,No,Yes,Unknown,2.0,140,15,2
