target,listing_type,kitchen_type,building_condition,postcode,double_glazing,bathroom,m2,number_bedrooms
1850,Apartment,Hyper equipped,Renovated,1180,Yes,2.0,100,2
1585,Apartment,Hyper equipped,Renovated,1040,Yes,1.0,105,2
1950,Apartment,Not installed,Good,,Yes,2.0,100,2
1800,Other,Hyper equipped,Renovated,1200,Yes,2.0,120,3
800,Apartment,Not installed,Renovated,1070,No,1.0,80,2
1870,Other,Hyper equipped,Renovated,1000,Yes,1.0,115,2
1030,Apartment,Hyper equipped,Renovated,1140,Yes,1.0,60,1
1050,Other,Hyper equipped,Renovated,1050,Yes,1.0,45,1
3770,Other,Hyper equipped,Renovated,1050,Yes,2.0,226,4
1600,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,70,2
2000,Apartment,Installed,Renovated,1050,Yes,2.0,135,2
3000,Other,Hyper equipped,Renovated,1050,Yes,2.0,136,2
3000,Other,Hyper equipped,Renovated,1050,Yes,2.0,136,2
1200,Apartment,Hyper equipped,Good,1050,Yes,1.0,86,2
1600,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,103,2
1600,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,103,2
2850,Apartment,Hyper equipped,Renovated,1180,Yes,2.0,180,3
1300,Apartment,Not installed,Renovated,1050,Yes,1.0,75,2
1305,Apartment,Hyper equipped,Renovated,1150,Yes,1.0,92,2
2075,Apartment,Hyper equipped,Renovated,1160,Yes,2.0,120,3
1530,Apartment,Installed,Renovated,1140,Yes,2.0,116,3
1900,Apartment,Hyper equipped,Renovated,1040,Yes,3.0,165,3
1510,Apartment,Hyper equipped,Renovated,1180,Yes,1.0,60,1
1080,Other,Hyper equipped,Renovated,1180,Yes,1.0,40,1
1050,Other,Hyper equipped,Renovated,1180,Yes,1.0,40,1
985,Apartment,Not installed,Renovated,1000,Yes,1.0,57,1
1600,Apartment,Hyper equipped,Renovated,1040,Yes,2.0,90,2
950,Apartment,Installed,Good,1170,Yes,1.0,65,1
1600,Apartment,Hyper equipped,Renovated,1030,Yes,1.0,91,2
940,Apartment,Not installed,Good,1050,Yes,1.0,128,1
4500,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,152,2
4400,Apartment,Hyper equipped,Renovated,1050,Yes,4.0,215,3
